file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\caiyun\CaiYunMainlyResult.java,wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult$ForecastDailyBean$SunRiseSetBean,innerclass,1,1,0,1,4,1,0,0,2,0.5,0.33333334,0.33333334,4,0,4,0,0,0,4,0,0,0,2,0,2,0,0,0,0,0,0,32,2,0,0,0,0,0,0,2,0,2,0,0,1,0,10,9,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\daily\adapter\model\DailyPollen.java,wangdaye.com.geometricweather.daily.adapter.model.DailyPollen,class,2,4,2,2,6,1,0,0,4,0.4,0.3,0.3,5,1,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,18,3,0,1,0,0,0,2,2,0,1,0,0,0,0,8,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\accu\AccuHourlyResult.java,wangdaye.com.geometricweather.weather.json.accu.AccuHourlyResult$RealFeelTemperature,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,9,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\accu\AccuDailyResult.java,wangdaye.com.geometricweather.weather.json.accu.AccuDailyResult$DailyForecasts$Moon,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,9,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\location\LocationHelper.java,wangdaye.com.geometricweather.location.LocationHelper$OnRequestLocationListener,interface,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\background\receiver\widget\WidgetTrendHourlyProvider.java,wangdaye.com.geometricweather.background.receiver.widget.WidgetTrendHourlyProvider,class,1,2,1,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\accu\AccuDailyResult.java,wangdaye.com.geometricweather.weather.json.accu.AccuDailyResult$DailyForecasts$Night,innerclass,7,7,0,7,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,21,0,0,7,0,33,9,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,class,8,14,6,8,7,5,0,9,6,0.0,0.0,0.0,4,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,35,5,0,2,1,0,1,2,0,1,0,1,0,2,0,20,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\accu\AccuCurrentResult.java,wangdaye.com.geometricweather.weather.json.accu.AccuCurrentResult$LocalSource,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,9,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\ui\widgets\horizontal\HorizontalViewPager2.java,wangdaye.com.geometricweather.common.ui.widgets.horizontal.HorizontalViewPager2$PageTransformer,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\main\adapters\DetailsAdapter.java,wangdaye.com.geometricweather.main.adapters.DetailsAdapter$ViewHolder,innerclass,5,5,0,5,2,2,0,8,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,3,0,0,3,0,0,3,0,0,20,0,0,0,0,0,0,0,3,0,3,0,0,0,0,15,8,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\settings\activities\CardDisplayManageActivity.java,wangdaye.com.geometricweather.settings.activities.CardDisplayManageActivity,class,28,30,2,28,17,4,0,46,2,0.5714286,0.33333334,0.33333334,4,0,0,1,3,0,3,0,0,0,7,0,0,7,0,0,0,0,1,116,1,3,5,0,0,3,16,23,1,27,3,0,2,4,85,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\services\AccuWeatherService.java,wangdaye.com.geometricweather.weather.services.AccuWeatherService$EmptyMinuteResult,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\work\deprecated\room\entity\AlertEntity.java,wangdaye.com.geometricweather.room.entity.AlertEntity,class,4,6,2,4,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,0,0,13,0,0,0,0,0,12,0,0,0,11,0,0,0,0,24,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\main\adapters\AqiAdapter.java,wangdaye.com.geometricweather.main.adapters.AqiAdapter$ViewHolder,innerclass,14,14,0,14,9,2,0,22,0,0.4642857,0.6666667,1.0,4,0,0,0,0,4,4,0,0,0,7,0,0,7,0,0,3,0,0,58,0,0,2,0,5,0,10,13,8,14,1,0,0,3,41,8,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\ui\widgets\SwipeSwitchLayout.java,wangdaye.com.geometricweather.common.ui.widgets.SwipeSwitchLayout$OnPagerSwipeListener,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\accu\AccuDailyResult.java,wangdaye.com.geometricweather.weather.json.accu.AccuDailyResult$DailyForecasts$Night$Wind$Speed,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\accu\AccuCurrentResult.java,wangdaye.com.geometricweather.weather.json.accu.AccuCurrentResult$TemperatureSummary$Past24HourRange$Maximum$Imperial,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,9,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\work\deprecated\room\dao\MinutelyDao.java,wangdaye.com.geometricweather.room.dao.MinutelyDao,interface,6,7,1,6,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,30,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\mf\MfRainResult.java,wangdaye.com.geometricweather.weather.json.mf.MfRainResult$RainForecast,innerclass,1,1,0,1,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,5,9,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\search\ui\adapter\source\WeatherSourceAdapter.java,wangdaye.com.geometricweather.search.ui.adapter.source.WeatherSourceAdapter,class,6,8,2,6,8,1,0,13,0,0.2,0.6,0.6,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,1,0,0,27,3,2,0,0,0,0,0,2,0,2,2,0,0,0,24,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\ui\widgets\insets\FitSystemBarSwipeRefreshLayout.java,wangdaye.com.geometricweather.common.ui.widgets.insets.FitSystemBarSwipeRefreshLayout,class,10,10,0,10,11,2,0,9,16,0.44444445,0.21428572,0.21428572,9,0,8,1,0,0,8,0,0,0,1,0,0,1,0,0,1,0,0,33,3,0,2,0,1,0,2,3,3,3,1,0,0,0,41,1,0
C:\Users\aryan\Downloads\GeometricWeather-master\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\ui\widgets\trend\TrendRecyclerView.java,wangdaye.com.geometricweather.common.ui.widgets.trend.TrendRecyclerView$KeyLine$ContentPosition,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
